iter	Passed	Remaining
403	10478	15458
404	10502	15430
405	10527	15402
406	10553	15376
407	10577	15347
408	10599	15315
409	10624	15288
410	10647	15258
411	10672	15231
412	10699	15206
413	10724	15180
414	10747	15149
415	10770	15119
416	10792	15089
417	10822	15069
418	10849	15044
419	10873	15016
420	10896	14986
421	10922	14959
422	10944	14929
423	10969	14901
424	10994	14874
425	11017	14844
426	11041	14817
427	11065	14788
428	11090	14760
429	11114	14732
430	11138	14704
431	11161	14675
432	11184	14645
433	11205	14613
434	11228	14584
435	11252	14556
436	11275	14526
437	11297	14495
438	11320	14466
439	11341	14435
440	11363	14404
441	11386	14375
442	11408	14343
443	11431	14315
444	11454	14285
445	11478	14258
446	11505	14233
447	11526	14202
448	11549	14173
449	11575	14148
450	11598	14119
451	11622	14090
452	11645	14062
453	11673	14039
454	11701	14016
455	11723	13986
456	11745	13956
457	11767	13925
458	11790	13897
459	11814	13869
460	11838	13841
461	11861	13812
462	11885	13784
463	11908	13756
464	11931	13728
465	11954	13699
466	11978	13671
467	12004	13646
468	12029	13619
469	12055	13594
470	12083	13571
471	12111	13548
472	12138	13524
473	12165	13499
474	12193	13477
475	12218	13450
476	12242	13423
477	12273	13403
478	12303	13382
479	12330	13358
480	12359	13336
481	12387	13312
482	12415	13289
483	12445	13268
484	12473	13245
485	12500	13220
486	12527	13196
487	12557	13174
488	12585	13151
489	12613	13128
490	12645	13109
491	12674	13086
492	12700	13061
493	12726	13035
494	12750	13008
495	12773	12979
496	12799	12954
497	12824	12928
498	12848	12900
499	12873	12873
500	12897	12845
501	12921	12818
502	12946	12791
503	12970	12764
504	12994	12737
505	13020	12712
506	13046	12685
507	13070	12658
508	13092	12629
509	13116	12602
510	13142	12576
511	13167	12550
512	13191	12522
513	13214	12494
514	13238	12467
515	13264	12441
516	13286	12412
517	13308	12383
518	13330	12354
519	13353	12325
520	13376	12297
521	13400	12271
522	13422	12242
523	13444	12213
524	13467	12185
525	13489	12156
526	13511	12127
527	13536	12100
528	13559	12072
529	13582	12045
530	13606	12017
531	13628	11989
532	13651	11961
533	13676	11934
534	13700	11907
535	13723	11879
536	13746	11852
537	13771	11825
538	13795	11799
539	13820	11772
540	13843	11745
541	13867	11718
542	13891	11691
543	13914	11663
544	13936	11635
545	13961	11608
546	13986	11582
547	14007	11553
548	14029	11525
549	14052	11497
550	14077	11471
551	14100	11443
552	14122	11415
553	14146	11388
554	14169	11361
555	14195	11335
556	14216	11306
557	14240	11279
558	14263	11252
559	14289	11227
560	14314	11201
561	14338	11175
562	14363	11148
563	14387	11122
564	14412	11096
565	14437	11070
566	14463	11045
567	14487	11018
568	14511	10991
569	14536	10966
570	14562	10940
571	14587	10915
572	14610	10887
573	14633	10860
574	14657	10833
575	14681	10806
576	14704	10780
577	14728	10753
578	14751	10725
579	14775	10699
580	14798	10672
581	14823	10646
582	14846	10619
583	14871	10593
584	14898	10569
585	14923	10542
586	14946	10516
587	14971	10490
588	14998	10465
589	15023	10440
590	15046	10412
591	15069	10385
592	15095	10360
593	15119	10334
594	15142	10307
595	15166	10280
596	15191	10254
597	15215	10228
598	15239	10202
599	15264	10176
600	15287	10149
601	15309	10121
602	15332	10094
603	15356	10068
604	15380	10041
605	15402	10014
606	15426	9987
607	15449	9960
608	15471	9933
609	15495	9907
610	15519	9880
611	15544	9855
612	15567	9828
613	15592	9802
614	15614	9774
615	15638	9748
616	15663	9723
617	15687	9696
618	15710	9669
619	15733	9643
620	15758	9617
621	15784	9592
622	15808	9566
623	15832	9540
624	15856	9513
625	15879	9486
626	15903	9460
627	15926	9434
628	15949	9407
629	15971	9379
630	15993	9352
631	16016	9326
632	16039	9299
633	16062	9272
634	16086	9246
635	16110	9220
636	16135	9195
637	16160	9169
638	16185	9143
639	16209	9117
640	16232	9091
641	16255	9064
642	16280	9039
643	16306	9014
644	16332	8989
645	16358	8964
646	16383	8938
647	16408	8913
648	16434	8888
649	16460	8863
650	16484	8837
651	16509	8811
652	16534	8786
653	16559	8760
654	16583	8734
655	16608	8709
656	16634	8684
657	16659	8658
658	16682	8632
659	16706	8606
660	16729	8579
661	16755	8554
662	16782	8530
