iter	Logloss
0	0.625358131
1	0.5691834489
2	0.5187941894
3	0.4782585949
4	0.444970658
5	0.4150068035
6	0.3894789463
7	0.3666140621
8	0.3474854142
9	0.330637382
10	0.3160227204
11	0.3034112978
12	0.2924490731
13	0.2844589748
14	0.2748420614
15	0.2676513781
16	0.2610995445
17	0.255276152
18	0.2501761448
19	0.2454555424
20	0.2398089911
21	0.2360144035
22	0.2320469092
23	0.2279685335
24	0.2250146183
25	0.2220051344
26	0.2189545474
27	0.2158877093
28	0.2138487208
29	0.2116910983
30	0.20973936
31	0.2077832408
32	0.2059075007
33	0.2042690755
34	0.2022681722
35	0.2007628441
36	0.1991235108
37	0.1974125832
38	0.1958217977
39	0.1938931968
40	0.1924944854
41	0.1914451559
42	0.1905978522
43	0.1890364134
44	0.1879861835
45	0.1868483933
46	0.1859628722
47	0.1848192179
48	0.1839732502
49	0.1827857779
50	0.1817507146
51	0.1807268214
52	0.1799115001
53	0.1789962345
54	0.1781360176
55	0.1771653698
56	0.1766745634
57	0.1759426406
58	0.1752650543
59	0.1745609325
60	0.1733374224
61	0.1728812898
62	0.1724342411
63	0.1717622524
64	0.1710966943
65	0.1703231542
66	0.1699111793
67	0.1693413941
68	0.1686221139
69	0.1680026186
70	0.167560087
71	0.1672039664
72	0.1666038941
73	0.1660641744
74	0.1654055608
75	0.1648841967
76	0.1646236949
77	0.1639604232
78	0.1632747246
79	0.1627869709
80	0.1623404106
81	0.161767187
82	0.1613953462
83	0.1608460389
84	0.1605252939
85	0.1602219339
86	0.1600242634
87	0.1596659693
88	0.159383216
89	0.1588646495
90	0.1584307083
91	0.1579556324
92	0.1575804667
93	0.157190195
94	0.1568045632
95	0.1565951157
96	0.1560580857
97	0.1557963616
98	0.1554492516
99	0.1551435177
100	0.154723076
101	0.154207912
102	0.1539432848
103	0.1535606337
104	0.1529705885
105	0.1526351908
106	0.1523947428
107	0.1520931963
108	0.1517310709
109	0.151510496
110	0.1512256342
111	0.1507228483
112	0.150370826
113	0.1497882028
114	0.1495626834
115	0.149344016
116	0.1489205647
117	0.148773815
118	0.1484356039
119	0.1482494856
120	0.1479775975
121	0.1477797905
122	0.1474242001
123	0.1470207572
124	0.1468860252
125	0.1464973505
126	0.1463150273
127	0.1461331079
128	0.145596142
129	0.1452591342
130	0.1451284422
131	0.1448166699
132	0.1445552295
133	0.1441141359
134	0.1438535446
135	0.1435006519
136	0.143265407
137	0.1430215067
138	0.142745951
139	0.1424432499
140	0.1420338319
141	0.1416194299
142	0.141252261
143	0.1410656888
144	0.1409704263
145	0.1406476552
146	0.1402988416
147	0.139962011
148	0.139680559
149	0.1394511893
150	0.1391913598
151	0.1389034682
152	0.1385292369
153	0.1382737085
154	0.1380513315
155	0.1377308092
156	0.1375344806
157	0.1371900496
158	0.1370530409
159	0.1368157242
160	0.1365004118
161	0.1361940383
162	0.1360559183
163	0.1358787988
164	0.1357439191
165	0.1355188227
166	0.1353818915
167	0.1349013133
168	0.1346686174
169	0.134393605
170	0.1341295361
171	0.1338917303
172	0.1336415246
173	0.1333795455
174	0.133196501
175	0.1329493799
176	0.1326392609
177	0.1324082496
178	0.1321265302
179	0.1319036691
180	0.1316780926
181	0.1315845113
182	0.1311356442
183	0.1309288748
184	0.130853479
185	0.1306738507
186	0.1303819268
187	0.1301267881
188	0.1299347713
189	0.1296081349
190	0.1293105426
191	0.1291323349
192	0.1289412746
193	0.1288545717
194	0.1286386489
195	0.1283896468
196	0.128184279
197	0.127980717
198	0.1277828106
